AssetType,Name,Symbol
Currency,USD,USD
Currency,AUD,AUD
Currency,SGD,SGD
Currency,GBP,GBP
Currency,NZD,NZD
Currency,CHF,CHF
Currency,CAD,CAD
Crypto,Bitcoin,BTC
Crypto,Ethereum,ETH
Crypto,Binance Coin,BNB
Crypto,XRP,XRP
Crypto,Tether,USDT
Crypto,Cardano,ADA
Crypto,Polkadot,DOT
Crypto,Uniswap,UNI
Crypto,Litecoin,LTC
Crypto,Chainlink,LINK
Crypto,THETA,THETA
Crypto,Bitcoin Cash,BCH
Crypto,Stellar,XLM
Crypto,USD Coin,USDC
Crypto,Filecoin,FIL
Crypto,TRON,TRX
Crypto,Wrapped Bitcoin,WBTC
Crypto,Klaytn,KLAY
Crypto,Dogecoin,DOGE
Crypto,VeChain,VET
Crypto,Solana,SOL
Crypto,Terra,LUNA
Crypto,BitTorrent,BTT
Crypto,EOS,EOS
Crypto,IOTA,MIOTA
Crypto,Crypto.com Coin,CRO
Crypto,Monero,XMR
Crypto,Tezos,XTZ
Crypto,Binance USD,BUSD
Crypto,Bitcoin SV,BSV
Crypto,Aave,AAVE
Crypto,FTX Token,FTT
Crypto,Cosmos,ATOM
Crypto,Neo,NEO
Crypto,Avalanche,AVAX
Crypto,Holo,HOT
Crypto,Kusama,KSM
Crypto,NEM,XEM
Crypto,Algorand,ALGO
Crypto,Huobi Token,HT
Crypto,Dai,DAI
Crypto,Elrond,EGLD
Crypto,PancakeSwap,CAKE
Crypto,Hedera Hashgraph,HBAR
Crypto,Chiliz,CHZ
Crypto,Bitcoin BEP2,BTCB
Crypto,Dash,DASH
Crypto,Enjin Coin,ENJ
Crypto,THORChain,RUNE
Crypto,Decred,DCR
Crypto,NEAR Protocol,NEAR
Crypto,Compound,COMP
Crypto,Synthetix,SNX
Crypto,Ethereum Classic,ETC
Crypto,Zilliqa,ZIL
Crypto,Stacks,STX
Crypto,The Graph,GRT
Crypto,Maker,MKR
Crypto,Zcash,ZEC
Crypto,UNUS SED LEO,LEO
Crypto,Bitcoin Gold,BTG
Crypto,Theta Fuel,TFUEL
Crypto,Basic Attention Token,BAT
Crypto,SushiSwap,SUSHI
Crypto,Celsius,CEL
Crypto,Polygon,MATIC
Crypto,yearn.finance,YFI
Crypto,TerraUSD,UST
Crypto,Pundi X[old],NPXS
Crypto,Ravencoin,RVN
Crypto,Decentraland,MANA
Crypto,Nexo,NEXO
Crypto,Qtum,QTUM
Crypto,Dent,DENT
Crypto,Ontology,ONT
Crypto,ICON,ICX
Crypto,Waves,WAVES
Crypto,Harmony,ONE
Crypto,UMA,UMA
Crypto,$1,403,386,738,
Crypto,Siacoin,SC
Crypto,OMG Network,OMG
Crypto,Helium,HNT
Crypto,Bancor,BNT
Crypto,DigiByte,DGB
Crypto,Flow,FLOW
Crypto,OKB,OKB
Crypto,SwissBorg,CHSB
